InterPro_id,UniProt_id,entrezgene_id,interpro_short_description,interpro_description,Pfam_id
IPR000403,P42338,5291,PI3/4_kinase_cat_dom,"Phosphatidylinositol 3-/4-kinase, catalytic domain",PF00454
IPR000403,O00329,5293,PI3/4_kinase_cat_dom,"Phosphatidylinositol 3-/4-kinase, catalytic domain",PF00454
IPR000413,P11215,3684,Integrin_alpha,Integrin alpha chain,NA
IPR000413,P13612,3676,Integrin_alpha,Integrin alpha chain,NA
IPR000418,P19419,2002,Ets_dom,Ets domain,PF00178
IPR000436,P17927,1378,Sushi_SCR_CCP_dom,Sushi/SCR/CCP domain,PF00084
IPR000436,Q2VPA4,1379,Sushi_SCR_CCP_dom,Sushi/SCR/CCP domain,PF00084
IPR000451,P19838,4790,NFkB/Dor,NF-kappa-B/Dorsal,NA
IPR000451,Q04206,5970,NFkB/Dor,NF-kappa-B/Dorsal,NA
IPR000471,P01574,3456,Interferon_alpha/beta/delta,Interferon alpha/beta/delta,PF00143
IPR000472,P36897,7046,Activin_recp,Activin types I and II receptor domain,PF01064
IPR000483,Q9Y2C9,10333,Cys-rich_flank_reg_C,"Cysteine-rich flanking region, C-terminal",PF01463
IPR000483,O00206,7099,Cys-rich_flank_reg_C,"Cysteine-rich flanking region, C-terminal",PF01463
IPR000483,O60603,7097,Cys-rich_flank_reg_C,"Cysteine-rich flanking region, C-terminal",PF01463
IPR000488,Q99836,4615,Death_domain,Death domain,PF00531
IPR000488,P51617,3654,Death_domain,Death domain,PF00531
IPR000488,P19838,4790,Death_domain,Death domain,PF00531
IPR000488,Q13158,8772,Death_domain,Death domain,PF00531
IPR000488,P19438,7132,Death_domain,Death domain,PF00531
IPR000488,P25445,355,Death_domain,Death domain,PF00531
IPR000496,P30411,624,Brdyknn_rcpt,Bradykinin receptor family,NA
IPR000626,O14920,3551,Ubiquitin-like_dom,Ubiquitin-like domain,PF00240
IPR000654,P50148,2776,Gprotein_alpha_Q,"G-protein alpha subunit, group Q",NA
IPR000654,O95837,9630,Gprotein_alpha_Q,"G-protein alpha subunit, group Q",NA
IPR000654,P30679,2769,Gprotein_alpha_Q,"G-protein alpha subunit, group Q",NA
IPR000654,P29992,2767,Gprotein_alpha_Q,"G-protein alpha subunit, group Q",NA
IPR000674,P47989,7498,Ald_Oxase/Xan_DH_a/b,"Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead",PF01315
IPR000719,P51617,3654,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,Q15759,5600,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,Q9Y243,10000,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,O14920,3551,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,O60674,3717,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,P27361,5595,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,P28482,5594,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,P45983,5599,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,O43318,6885,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,P31749,207,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,P23458,3716,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,P36897,7046,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,P53778,6300,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,P53779,5602,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,P45985,6416,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,Q9NWZ3,51135,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,P05771,5579,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,O15111,1147,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,Q16539,1432,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,P37173,7048,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,P31751,208,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,P45984,5601,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000719,O15264,5603,Prot_kinase_dom,Protein kinase domain,PF00069
IPR000742,P35354,5743,EGF-like_dom,EGF-like domain,PF00008
IPR000778,P04839,1536,Cyt_b245_heavy_chain,"Cytochrome b245, heavy chain",NA
IPR000779,P60568,3558,IL-2,Interleukin-2,PF00715
IPR000795,P68104,1915,T_Tr_GTP-bd_dom,Translational (tr)-type GTP-binding domain,PF00009
IPR000795,Q05639,1917,T_Tr_GTP-bd_dom,Translational (tr)-type GTP-binding domain,PF00009
IPR000827,P10147,6348,Chemokine_CC_CS,"CC chemokine, conserved site",NA
IPR000827,P16619,414062,Chemokine_CC_CS,"CC chemokine, conserved site",NA
IPR000827,P13500,6347,Chemokine_CC_CS,"CC chemokine, conserved site",NA
IPR000827,P13501,6352,Chemokine_CC_CS,"CC chemokine, conserved site",NA
IPR000827,P16619,6349,Chemokine_CC_CS,"CC chemokine, conserved site",NA
IPR000837,P01100,2353,AP-1,AP-1 transcription factor,NA
IPR000909,Q00722,5330,PLipase_C_PInositol-sp_X_dom,"Phosphatidylinositol-specific phospholipase C, X domain",PF00388
IPR000909,Q01970,5331,PLipase_C_PInositol-sp_X_dom,"Phosphatidylinositol-specific phospholipase C, X domain",PF00388
IPR000909,Q9NQ66,23236,PLipase_C_PInositol-sp_X_dom,"Phosphatidylinositol-specific phospholipase C, X domain",PF00388
IPR000909,Q15147,5332,PLipase_C_PInositol-sp_X_dom,"Phosphatidylinositol-specific phospholipase C, X domain",PF00388
IPR000919,Q15080,4689,p40phox,Neutrophil cytosol factor P40,NA
IPR000960,P31513,2328,Flavin_mOase,Flavin monooxygenase FMO,NA
IPR000961,P05771,5579,AGC-kinase_C,"AGC-kinase, C-terminal",NA
IPR000961,P31749,207,AGC-kinase_C,"AGC-kinase, C-terminal",NA
IPR000961,P31751,208,AGC-kinase_C,"AGC-kinase, C-terminal",NA
IPR000961,Q9Y243,10000,AGC-kinase_C,"AGC-kinase, C-terminal",NA
IPR000975,P01584,3553,IL-1_fam,Interleukin-1 family,PF00340
IPR000975,P01583,3552,IL-1_fam,Interleukin-1 family,PF00340
IPR000980,O00459,5296,SH2,SH2 domain,PF00017
IPR000980,Q92569,8503,SH2,SH2 domain,PF00017
IPR000980,P27986,5295,SH2,SH2 domain,PF00017
IPR000980,P29350,5777,SH2,SH2 domain,PF00017
IPR000980,P42224,6772,SH2,SH2 domain,PF00017
IPR000980,O60674,3717,SH2,SH2 domain,PF00017
IPR000980,P23458,3716,SH2,SH2 domain,PF00017
IPR001003,P06340,3111,MHC_II_a_N,"MHC class II, alpha chain, N-terminal",PF00993
IPR001003,P20036,3113,MHC_II_a_N,"MHC class II, alpha chain, N-terminal",PF00993
IPR001003,P01906,3117,MHC_II_a_N,"MHC class II, alpha chain, N-terminal",PF00993
IPR001003,P28067,3108,MHC_II_a_N,"MHC class II, alpha chain, N-terminal",PF00993
IPR001003,P01903,3122,MHC_II_a_N,"MHC class II, alpha chain, N-terminal",PF00993
IPR001003,P01906,3118,MHC_II_a_N,"MHC class II, alpha chain, N-terminal",PF00993
IPR001019,P30679,2769,Gprotein_alpha_su,"Guanine nucleotide binding protein (G-protein), alpha subunit",PF00503
IPR001019,P50148,2776,Gprotein_alpha_su,"Guanine nucleotide binding protein (G-protein), alpha subunit",PF00503
IPR001019,P04899,2771,Gprotein_alpha_su,"Guanine nucleotide binding protein (G-protein), alpha subunit",PF00503
IPR001019,Q5JWF2,2778,Gprotein_alpha_su,"Guanine nucleotide binding protein (G-protein), alpha subunit",PF00503
IPR001019,P63092,2778,Gprotein_alpha_su,"Guanine nucleotide binding protein (G-protein), alpha subunit",PF00503
IPR001019,P63096,2770,Gprotein_alpha_su,"Guanine nucleotide binding protein (G-protein), alpha subunit",PF00503
IPR001019,P38405,2774,Gprotein_alpha_su,"Guanine nucleotide binding protein (G-protein), alpha subunit",PF00503
IPR001019,O95837,9630,Gprotein_alpha_su,"Guanine nucleotide binding protein (G-protein), alpha subunit",PF00503
IPR001019,P09471,2775,Gprotein_alpha_su,"Guanine nucleotide binding protein (G-protein), alpha subunit",PF00503
IPR001019,P08754,2773,Gprotein_alpha_su,"Guanine nucleotide binding protein (G-protein), alpha subunit",PF00503
IPR001019,P29992,2767,Gprotein_alpha_su,"Guanine nucleotide binding protein (G-protein), alpha subunit",PF00503
IPR001041,P47989,7498,2Fe-2S_ferredoxin-type,2Fe-2S ferredoxin-type iron-sulfur binding domain,PF00111
IPR001054,Q08828,107,A/G_cyclase,Adenylyl cyclase class-3/4/guanylyl cyclase,PF00211
IPR001073,P02745,712,C1q_dom,C1q domain,PF00386
IPR001073,P02747,714,C1q_dom,C1q domain,PF00386
IPR001089,P10145,3576,Chemokine_CXC,CXC chemokine,NA
IPR001094,P35228,4843,Flavdoxin-like,Flavodoxin-like,NA
IPR001111,P10600,7043,TGF-b_propeptide,"TGF-beta, propeptide",PF00688
IPR001111,P61812,7042,TGF-b_propeptide,"TGF-beta, propeptide",PF00688
IPR001128,P20813,1555,Cyt_P450,Cytochrome P450,PF00067
IPR001128,P05177,1544,Cyt_P450,Cytochrome P450,PF00067
IPR001128,P08684,1576,Cyt_P450,Cytochrome P450,PF00067
IPR001128,P20815,1577,Cyt_P450,Cytochrome P450,PF00067
IPR001128,P33261,1557,Cyt_P450,Cytochrome P450,PF00067
IPR001128,P10635,1565,Cyt_P450,Cytochrome P450,PF00067
IPR001132,Q15796,4087,SMAD_dom_Dwarfin-type,"SMAD domain, Dwarfin-type",PF03166
IPR001134,P01024,718,Netrin_domain,Netrin domain,NA
IPR001192,Q15147,5332,PI-PLC_fam,Phosphoinositide phospholipase C family,NA
IPR001192,Q00722,5330,PI-PLC_fam,Phosphoinositide phospholipase C family,NA
IPR001192,Q01970,5331,PI-PLC_fam,Phosphoinositide phospholipase C family,NA
IPR001192,Q9NQ66,23236,PI-PLC_fam,Phosphoinositide phospholipase C family,NA
IPR001211,P14555,5320,PLipase_A2,Phospholipase A2,NA
IPR001217,P42224,6772,STAT,Transcription factor STAT,NA
IPR001245,P23458,3716,Ser-Thr/Tyr_kinase_cat_dom,"Serine-threonine/tyrosine-protein kinase, catalytic domain",PF07714
IPR001245,P37173,7048,Ser-Thr/Tyr_kinase_cat_dom,"Serine-threonine/tyrosine-protein kinase, catalytic domain",PF07714
IPR001245,O60674,3717,Ser-Thr/Tyr_kinase_cat_dom,"Serine-threonine/tyrosine-protein kinase, catalytic domain",PF07714
IPR001245,Q9NWZ3,51135,Ser-Thr/Tyr_kinase_cat_dom,"Serine-threonine/tyrosine-protein kinase, catalytic domain",PF07714
IPR001245,O43318,6885,Ser-Thr/Tyr_kinase_cat_dom,"Serine-threonine/tyrosine-protein kinase, catalytic domain",PF07714
IPR001254,P00734,2147,Trypsin_dom,"Serine proteases, trypsin domain",PF00089
IPR001263,P42336,5290,PI3K_accessory_dom,"Phosphoinositide 3-kinase, accessory (PIK) domain",PF00613
IPR001263,P42338,5291,PI3K_accessory_dom,"Phosphoinositide 3-kinase, accessory (PIK) domain",PF00613
IPR001263,O00329,5293,PI3K_accessory_dom,"Phosphoinositide 3-kinase, accessory (PIK) domain",PF00613
IPR001293,Q9Y4K3,7189,Znf_TRAF,"Zinc finger, TRAF-type",PF02176
IPR001309,O15519,8837,Pept_C14_p20,"Peptidase C14,  p20 domain",NA
IPR001309,Q14790,841,Pept_C14_p20,"Peptidase C14,  p20 domain",NA
IPR001314,P00734,2147,Peptidase_S1A,"Peptidase S1A, chymotrypsin family",NA
IPR001325,P05112,3565,IL-4/IL-13,Interleukin-4/interleukin-13,NA
IPR001368,P19438,7132,TNFR/NGFR_Cys_rich_reg,TNFR/NGFR cysteine-rich region,PF00020
IPR001368,P25445,355,TNFR/NGFR_Cys_rich_reg,TNFR/NGFR cysteine-rich region,PF00020
IPR001408,P04899,2771,Gprotein_alpha_I,"G-protein alpha subunit, group I",NA
IPR001408,P08754,2773,Gprotein_alpha_I,"G-protein alpha subunit, group I",NA
IPR001408,P09471,2775,Gprotein_alpha_I,"G-protein alpha subunit, group I",NA
IPR001408,P63096,2770,Gprotein_alpha_I,"G-protein alpha subunit, group I",NA
IPR001433,P35228,4843,OxRdtase_FAD/NAD-bd,Oxidoreductase FAD/NAD(P)-binding,PF00175
IPR001452,O00459,5296,SH3_domain,SH3 domain,PF00018
IPR001452,P19878,4688,SH3_domain,SH3 domain,PF00018
IPR001452,P14598,653361,SH3_domain,SH3 domain,PF00018
IPR001452,Q15080,4689,SH3_domain,SH3 domain,PF00018
IPR001452,P27986,5295,SH3_domain,SH3 domain,PF00018
IPR001504,P30411,624,Brdyknn_2_rcpt,Bradykinin receptor B2,NA
IPR001525,O14717,1787,C5_MeTfrase,C-5 cytosine methyltransferase,PF00145
IPR001548,P12821,1636,Peptidase_M2,"Peptidase M2, peptidyl-dipeptidase A",PF01401
IPR001580,P27797,811,Calret/calnex,Calreticulin/calnexin,PF00262
IPR001599,P01024,718,Macroglobln_a2,Alpha-2-macroglobulin,PF00207
IPR001611,Q9Y2C9,10333,Leu-rich_rpt,Leucine-rich repeat,PF00560
IPR001611,O00206,7099,Leu-rich_rpt,Leucine-rich repeat,PF00560
IPR001611,O60603,7097,Leu-rich_rpt,Leucine-rich repeat,PF00560
IPR001611,Q9NR96,54106,Leu-rich_rpt,Leucine-rich repeat,PF00560
IPR001631,P11387,7150,TopoI,DNA topoisomerase I,NA
IPR001655,P14598,653361,P47PHOX,Neutrophil cytosol factor 1,NA
IPR001680,Q00005,5521,WD40_repeat,WD40 repeat,PF00400
IPR001680,Q66LE6,55844,WD40_repeat,WD40 repeat,PF00400
IPR001680,Q9Y2T4,5522,WD40_repeat,WD40 repeat,PF00400
IPR001680,P63151,5520,WD40_repeat,WD40 repeat,PF00400
IPR001683,Q13393,5337,PX_dom,Phox homology,PF00787
IPR001683,Q15080,4689,PX_dom,Phox homology,PF00787
IPR001683,P14598,653361,PX_dom,Phox homology,PF00787
IPR001709,P35228,4843,Flavoprot_Pyr_Nucl_cyt_Rdtase,Flavoprotein pyridine nucleotide cytochrome reductase,NA
IPR001711,Q01970,5331,PLipase_C_Pinositol-sp_Y,"Phospholipase C, phosphatidylinositol-specific, Y domain",PF00387
IPR001711,Q15147,5332,PLipase_C_Pinositol-sp_Y,"Phospholipase C, phosphatidylinositol-specific, Y domain",PF00387
IPR001711,Q00722,5330,PLipase_C_Pinositol-sp_Y,"Phospholipase C, phosphatidylinositol-specific, Y domain",PF00387
IPR001711,Q9NQ66,23236,PLipase_C_Pinositol-sp_Y,"Phospholipase C, phosphatidylinositol-specific, Y domain",PF00387
IPR001736,Q13393,5337,PLipase_D/transphosphatidylase,Phospholipase D/Transphosphatidylase,PF00614
IPR001811,P10147,6348,Chemokine_IL8-like_dom,Chemokine interleukin-8-like domain,PF00048
IPR001811,P10145,3576,Chemokine_IL8-like_dom,Chemokine interleukin-8-like domain,PF00048
IPR001811,P16619,414062,Chemokine_IL8-like_dom,Chemokine interleukin-8-like domain,PF00048
IPR001811,P13500,6347,Chemokine_IL8-like_dom,Chemokine interleukin-8-like domain,PF00048
IPR001811,P16619,6349,Chemokine_IL8-like_dom,Chemokine interleukin-8-like domain,PF00048
IPR001811,P13501,6352,Chemokine_IL8-like_dom,Chemokine interleukin-8-like domain,PF00048
IPR001839,P61812,7042,TGF-b_C,"Transforming growth factor-beta, C-terminal",PF00019
IPR001839,P10600,7043,TGF-b_C,"Transforming growth factor-beta, C-terminal",PF00019
IPR001840,P01024,718,Anaphylatoxn_comp_syst_dom,"Anaphylatoxin, complement system domain",NA
IPR001841,Q9Y4K3,7189,Znf_RING,"Zinc finger, RING-type",PF13639
IPR001849,P31749,207,PH_domain,Pleckstrin homology domain,NA
IPR001849,P31751,208,PH_domain,Pleckstrin homology domain,NA
IPR001849,Q13393,5337,PH_domain,Pleckstrin homology domain,NA
IPR001849,Q9Y243,10000,PH_domain,Pleckstrin homology domain,NA
IPR001875,Q14790,841,DED_dom,Death effector domain,PF01335
IPR001875,Q13158,8772,DED_dom,Death effector domain,PF01335
IPR001875,O15519,8837,DED_dom,Death effector domain,PF01335
IPR001876,Q9NYJ8,23118,Znf_RanBP2,"Zinc finger, RanBP2-type",PF00641
IPR001932,Q15750,10454,PPM-type_phosphatase-like_dom,PPM-type phosphatase-like domain,PF00481
IPR002035,P11215,3684,VWF_A,"von Willebrand factor, type A",PF00092
IPR002069,P01579,3458,Interferon_gamma,Interferon gamma,PF00714
IPR002083,Q9Y4K3,7189,MATH/TRAF_dom,MATH/TRAF domain,PF00917
IPR002101,P49006,65108,MARCKS,Myristoylated alanine-rich C-kinase substrate MARCKS,PF02063
IPR002110,P19838,4790,Ankyrin_rpt,Ankyrin repeat,PF00023
IPR002110,P25963,4792,Ankyrin_rpt,Ankyrin repeat,PF00023
IPR002110,Q15653,4793,Ankyrin_rpt,Ankyrin repeat,PF00023
IPR002112,P05412,3725,Leuzip_Jun,Transcription factor Jun,NA
IPR002138,Q14790,841,Pept_C14_p10,"Peptidase C14, caspase non-catalytic subunit p10",NA
IPR002219,P05771,5579,PE/DAG-bd,"Protein kinase C-like, phorbol ester/diacylglycerol-binding domain",PF00130
IPR002255,P31513,2328,Flavin_mOase_3,Flavin monooxygenase (FMO) 3,NA
IPR002346,P47989,7498,Mopterin_DH_FAD-bd,"Molybdopterin dehydrogenase, FAD-binding",PF00941
IPR002350,Q9Y6L6,10599,Kazal_dom,Kazal domain,PF00050
IPR002350,Q9NPD5,28234,Kazal_dom,Kazal domain,PF00050
IPR002354,P05112,3565,IL-4,Interleukin-4,PF00727
IPR002369,P05556,3688,Integrin_bsu_VWA,"Integrin beta subunit, VWA domain",PF00362
IPR002369,P05107,3689,Integrin_bsu_VWA,"Integrin beta subunit, VWA domain",PF00362
IPR002395,P01042,3827,Kininogen,HMW kininogen,NA
IPR002398,O15519,8837,Pept_C14,Peptidase C14 family,NA
IPR002398,Q14790,841,Pept_C14,Peptidase C14 family,NA
IPR002401,P05177,1544,Cyt_P450_E_grp-I,"Cytochrome P450, E-class, group I",NA
IPR002401,P33261,1557,Cyt_P450_E_grp-I,"Cytochrome P450, E-class, group I",NA
IPR002401,P10635,1565,Cyt_P450_E_grp-I,"Cytochrome P450, E-class, group I",NA
IPR002401,P20813,1555,Cyt_P450_E_grp-I,"Cytochrome P450, E-class, group I",NA
IPR002402,P08684,1576,Cyt_P450_E_grp-II,"Cytochrome P450, E-class, group II",NA
IPR002402,P20815,1577,Cyt_P450_E_grp-II,"Cytochrome P450, E-class, group II",NA
IPR002420,P42336,5290,PI3K-type_C2_dom,C2 phosphatidylinositol 3-kinase-type domain,PF00792
IPR002420,O00329,5293,PI3K-type_C2_dom,C2 phosphatidylinositol 3-kinase-type domain,PF00792
IPR002420,P42338,5291,PI3K-type_C2_dom,C2 phosphatidylinositol 3-kinase-type domain,PF00792
IPR002433,P11926,4953,Orn_de-COase,Ornithine decarboxylase,NA
IPR002528,Q96FL8,55244,MATE_fam,Multi antimicrobial extrusion protein,PF01554
IPR002528,Q86VL8,146802,MATE_fam,Multi antimicrobial extrusion protein,PF01554
IPR002888,P47989,7498,2Fe-2S-bd,[2Fe-2S]-binding,PF01799
IPR002890,P01024,718,MG2,Macroglobulin domain,PF01835
IPR002909,P19838,4790,IPT_dom,IPT domain,PF01833
IPR002909,Q04206,5970,IPT_dom,IPT domain,PF01833
IPR002959,P01375,7124,TNF_alpha,Tumour necrosis factor alpha,NA
IPR003000,Q9NXA8,23408,Sirtuin,Sirtuin family,PF02146
IPR003006,P13765,3112,Ig/MHC_CS,"Immunoglobulin/major histocompatibility complex, conserved site",NA
IPR003006,P01903,3122,Ig/MHC_CS,"Immunoglobulin/major histocompatibility complex, conserved site",NA
IPR003006,P01906,3117,Ig/MHC_CS,"Immunoglobulin/major histocompatibility complex, conserved site",NA
IPR003006,P01906,3118,Ig/MHC_CS,"Immunoglobulin/major histocompatibility complex, conserved site",NA
IPR003006,P01911,3123,Ig/MHC_CS,"Immunoglobulin/major histocompatibility complex, conserved site",NA
IPR003006,P01920,3119,Ig/MHC_CS,"Immunoglobulin/major histocompatibility complex, conserved site",NA
IPR003006,P28067,3108,Ig/MHC_CS,"Immunoglobulin/major histocompatibility complex, conserved site",NA
IPR003006,P04440,3115,Ig/MHC_CS,"Immunoglobulin/major histocompatibility complex, conserved site",NA
IPR003006,Q30154,3127,Ig/MHC_CS,"Immunoglobulin/major histocompatibility complex, conserved site",NA
IPR003006,P06340,3111,Ig/MHC_CS,"Immunoglobulin/major histocompatibility complex, conserved site",NA
IPR003006,P20036,3113,Ig/MHC_CS,"Immunoglobulin/major histocompatibility complex, conserved site",NA
IPR003006,P13762,3126,Ig/MHC_CS,"Immunoglobulin/major histocompatibility complex, conserved site",NA
IPR003097,P35228,4843,CysJ-like_FAD-binding,"Sulfite reductase [NADPH] flavoprotein alpha-component-like, FAD-binding",PF00667
IPR003110,P04234,915,Phos_immunorcpt_sig_ITAM,Phosphorylated immunoreceptor signalling ITAM,PF02189
IPR003110,P09693,917,Phos_immunorcpt_sig_ITAM,Phosphorylated immunoreceptor signalling ITAM,PF02189
IPR003110,P07766,916,Phos_immunorcpt_sig_ITAM,Phosphorylated immunoreceptor signalling ITAM,PF02189
IPR003110,P20963,919,Phos_immunorcpt_sig_ITAM,Phosphorylated immunoreceptor signalling ITAM,PF02189
IPR003113,O00329,5293,PI3K_ABD,"Phosphatidylinositol 3-kinase, adaptor-binding domain",PF02192
IPR003113,P42338,5291,PI3K_ABD,"Phosphatidylinositol 3-kinase, adaptor-binding domain",PF02192
IPR003113,P42336,5290,PI3K_ABD,"Phosphatidylinositol 3-kinase, adaptor-binding domain",PF02192
IPR003295,P01583,3552,IL-1_alpha,Interleukin-1 alpha,NA
IPR003296,P01584,3553,IL-1_beta,Interleukin-1 beta,NA
IPR003439,Q9UNQ0,9429,ABC_transporter-like_ATP-bd,"ABC transporter-like, ATP-binding domain",PF00005
IPR003439,P08183,5243,ABC_transporter-like_ATP-bd,"ABC transporter-like, ATP-binding domain",PF00005
IPR003502,P01583,3552,IL-1_propep,Interleukin-1 propeptide,PF02394
IPR003502,P01584,3553,IL-1_propep,Interleukin-1 propeptide,PF02394
IPR003527,O15264,5603,MAP_kinase_CS,"Mitogen-activated protein (MAP) kinase, conserved site",NA
IPR003527,P27361,5595,MAP_kinase_CS,"Mitogen-activated protein (MAP) kinase, conserved site",NA
IPR003527,P28482,5594,MAP_kinase_CS,"Mitogen-activated protein (MAP) kinase, conserved site",NA
IPR003527,Q16539,1432,MAP_kinase_CS,"Mitogen-activated protein (MAP) kinase, conserved site",NA
IPR003527,P45983,5599,MAP_kinase_CS,"Mitogen-activated protein (MAP) kinase, conserved site",NA
IPR003527,P53778,6300,MAP_kinase_CS,"Mitogen-activated protein (MAP) kinase, conserved site",NA
IPR003527,P53779,5602,MAP_kinase_CS,"Mitogen-activated protein (MAP) kinase, conserved site",NA
IPR003527,Q15759,5600,MAP_kinase_CS,"Mitogen-activated protein (MAP) kinase, conserved site",NA
IPR003527,P45984,5601,MAP_kinase_CS,"Mitogen-activated protein (MAP) kinase, conserved site",NA
IPR003530,P29460,3593,Hematopoietin_rcpt_L_F3_CS,"Long hematopoietin receptor, soluble alpha chain, conserved site",NA
IPR003574,P05231,3569,IL-6,Interleukin-6,PF00489
