"entrezgene_id","wikipathID","description"
"10000","WP4674","Head and neck squamous cell carcinoma"
"10000","WP2261","Glioblastoma signaling pathways"
"10000","WP4806","EGFR tyrosine kinase inhibitor resistance"
"10000","WP4263","Pancreatic adenocarcinoma pathway"
"10000","WP673","ErbB signaling pathway"
"10000","WP4746","Thyroid hormones production and peripheral downstream signaling effects"
"10000","WP4658","Small cell lung cancer"
"10000","WP185","Integrin-mediated cell adhesion"
"10000","WP75","Toll-like receptor signaling pathway"
"10000","WP710","DNA damage response (only ATM dependent)"
"10000","WP3931","Embryonic stem cell pluripotency pathways"
"10000","WP4666","Hepatitis B infection"
"624","WP554","ACE inhibitor pathway"
"624","WP4969","RAS and bradykinin pathways in COVID-19"
"624","WP24","Peptide GPCRs"
"624","WP51","Regulation of actin cytoskeleton"
"624","WP455","GPCRs, class A rhodopsin-like"
"712","WP545","Complement activation"
"712","WP3937","Microglia pathogen phagocytosis pathway"
"712","WP3941","Oxidative damage response"
"712","WP558","Complement and coagulation cascades"
"712","WP2328","Allograft rejection"
"712","WP5090","Complement system in neuronal development and plasticity"
"713","WP545","Complement activation"
"713","WP3937","Microglia pathogen phagocytosis pathway"
"713","WP3941","Oxidative damage response"
"713","WP558","Complement and coagulation cascades"
"713","WP2328","Allograft rejection"
"713","WP5090","Complement system in neuronal development and plasticity"
"713","WP2431","Spinal cord injury"
"714","WP545","Complement activation"
"714","WP3937","Microglia pathogen phagocytosis pathway"
"714","WP3941","Oxidative damage response"
"714","WP558","Complement and coagulation cascades"
"714","WP3945","TYROBP causal network in microglia"
"714","WP2328","Allograft rejection"
"714","WP5090","Complement system in neuronal development and plasticity"
"718","WP5104","Acquired partial lipodystrophy / Barraquer-Simons syndrome"
"718","WP4493","Cells and molecules involved in local acute inflammatory response "
"718","WP545","Complement activation"
"718","WP4950","16p11.2 distal deletion syndrome"
"718","WP5283","Chronic hyperglycemia impairment of neuron function"
"718","WP558","Complement and coagulation cascades"
"718","WP3945","TYROBP causal network in microglia"
"718","WP5218","Extrafollicular and follicular B cell activation by SARS-CoV-2"
"718","WP2328","Allograft rejection"
"718","WP2806","Complement system"
"718","WP5090","Complement system in neuronal development and plasticity"
"811","WP3613","Photodynamic therapy-induced unfolded protein response"
"811","WP138","Androgen receptor signaling pathway"
"811","WP2806","Complement system"
"811","WP536","Calcium regulation in cardiac cells"
"811","WP3888","VEGFA-VEGFR2 signaling"
"841","WP2513","Nanoparticle triggered regulated necrosis"
"841","WP5182","Pro-survival signaling of neuroprotectin D1"
"841","WP384","Apoptosis modulation by HSP70"
"841","WP2507","Nanomaterial induced apoptosis"
"841","WP4864","Host-pathogen interaction of human coronaviruses - apoptosis"
"841","WP3982","miRNA regulation of p53 pathway in prostate cancer"
"841","WP4838","Regucalcin in proximal tubule epithelial kidney cells"
"841","WP1433","Nucleotide-binding oligomerization domain (NOD) pathway"
"841","WP2036","TNF-related weak inducer of apoptosis (TWEAK) signaling pathway"
"841","WP314","Fas ligand pathway and stress induction of heat shock proteins"
"841","WP1971","Integrated cancer pathway"
"841","WP3865","Novel intracellular components of RIG-I-like receptor pathway"
"841","WP2324","AGE/RAGE pathway"
"841","WP5039","SARS-CoV-2 innate immunity evasion and cell-specific immune response"
"841","WP707","DNA damage response"
"841","WP2359","Parkin-ubiquitin proteasomal system pathway"
"841","WP4255","Non-small cell lung cancer"
"841","WP4655","Cytosolic DNA-sensing pathway"
"841","WP4674","Head and neck squamous cell carcinoma"
"841","WP4949","16p11.2 proximal deletion syndrome"
"841","WP4298","Acute viral myocarditis"
"841","WP254","Apoptosis"
"841","WP2328","Allograft rejection"
"841","WP1772","Apoptosis modulation and signaling"
"841","WP231","TNF-alpha signaling pathway"
"841","WP4658","Small cell lung cancer"
"841","WP1530","miRNA regulation of DNA damage response"
"841","WP75","Toll-like receptor signaling pathway"
"841","WP5090","Complement system in neuronal development and plasticity"
"841","WP4630","Measles virus infection"
"6347","WP4891","COVID-19 adverse outcome pathway"
"6347","WP4462","Platelet-mediated interactions with vascular and circulating cells"
"6347","WP5272","LDL- influence on CD14 and TLR4"
"6347","WP2865","IL1 and megakaryocytes in obesity"
"6347","WP5284","Cell interactions of the pancreatic cancer microenvironment"
"6347","WP5092","Interactions of natural killer cells in pancreatic cancer"
"6347","WP5113","Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway"
"6347","WP5088","Prostaglandin signaling"
"6347","WP5285","Immune infiltration in pancreatic cancer"
"6347","WP2036","TNF-related weak inducer of apoptosis (TWEAK) signaling pathway"
"6347","WP4136","Fibrin complement receptor 3 signaling pathway"
"6347","WP4559","Interactions between immune cells and microRNAs in tumor microenvironment"
"6347","WP1533","Vitamin B12 metabolism"
"6347","WP4747","Netrin-UNC5B signaling pathway"
"6347","WP195","IL-1 signaling pathway"
"6347","WP3624","Lung fibrosis"
"6347","WP2374","Oncostatin M signaling pathway"
"6347","WP5039","SARS-CoV-2 innate immunity evasion and cell-specific immune response"
"6347","WP176","Folate metabolism"
"6347","WP2880","Glucocorticoid receptor pathway"
"6347","WP4341","Non-genomic actions of 1,25 dihydroxyvitamin D3"
"6347","WP15","Selenium micronutrient network"
"6347","WP231","TNF-alpha signaling pathway"
"6347","WP4963","p53 transcriptional gene network"
"6347","WP5287","17q12 copy number variation syndrome"
"6347","WP5055","Burn wound healing"
"6347","WP2431","Spinal cord injury"
"6347","WP5095","Overview of proinflammatory and profibrotic mediators"
"6347","WP2858","Ectoderm differentiation"
"6347","WP4396","Nonalcoholic fatty liver disease"
"6348","WP4891","COVID-19 adverse outcome pathway"
"6348","WP5092","Interactions of natural killer cells in pancreatic cancer"
"6348","WP4494","Selective expression of chemokine receptors during T-cell polarization"
"6348","WP5088","Prostaglandin signaling"
"6348","WP3624","Lung fibrosis"
"6348","WP4329","miRNA role in immune response in sepsis"
"6348","WP5039","SARS-CoV-2 innate immunity evasion and cell-specific immune response"
"6348","WP5287","17q12 copy number variation syndrome"
"6348","WP75","Toll-like receptor signaling pathway"
"6348","WP5095","Overview of proinflammatory and profibrotic mediators"
"6348","WP3929","Chemokine signaling pathway"
"6348","WP5115","Network map of SARS-CoV-2 signaling pathway"
"6348","WP4754","IL-18 signaling pathway"
"6349","WP5287","17q12 copy number variation syndrome"
"6349","WP5095","Overview of proinflammatory and profibrotic mediators"
"414062","WP5287","17q12 copy number variation syndrome"
"414062","WP5095","Overview of proinflammatory and profibrotic mediators"
"6352","WP4462","Platelet-mediated interactions with vascular and circulating cells"
"6352","WP262","Ebstein-Barr virus LMP1 signaling"
"6352","WP4942","15q13.3 copy number variation syndrome"
"6352","WP5284","Cell interactions of the pancreatic cancer microenvironment"
"6352","WP5092","Interactions of natural killer cells in pancreatic cancer"
"6352","WP5285","Immune infiltration in pancreatic cancer"
"6352","WP2036","TNF-related weak inducer of apoptosis (TWEAK) signaling pathway"
"6352","WP4559","Interactions between immune cells and microRNAs in tumor microenvironment"
"6352","WP1533","Vitamin B12 metabolism"
"6352","WP3624","Lung fibrosis"
"6352","WP5039","SARS-CoV-2 innate immunity evasion and cell-specific immune response"
"6352","WP4655","Cytosolic DNA-sensing pathway"
"6352","WP5287","17q12 copy number variation syndrome"
"6352","WP75","Toll-like receptor signaling pathway"
"6352","WP5095","Overview of proinflammatory and profibrotic mediators"
"6352","WP3929","Chemokine signaling pathway"
"6352","WP5115","Network map of SARS-CoV-2 signaling pathway"
"6352","WP4754","IL-18 signaling pathway"
"6352","WP5087","Malignant pleural mesothelioma"
"919","WP4884","Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex"
"919","WP5072","Modulators of TCR signaling and T cell activation"
"919","WP5130","Th17 cell differentiation pathway"
"919","WP5098","T-cell activation SARS-CoV-2"
"919","WP69","T-cell receptor signaling pathway"
"919","WP5115","Network map of SARS-CoV-2 signaling pathway"
"915","WP4585","Cancer immunotherapy by PD-1 blockade"
"915","WP5072","Modulators of TCR signaling and T cell activation"
"915","WP3863","T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection"
"915","WP5130","Th17 cell differentiation pathway"
"915","WP5098","T-cell activation SARS-CoV-2"
"915","WP69","T-cell receptor signaling pathway"
"915","WP4630","Measles virus infection"
"916","WP4884","Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex"
"916","WP4585","Cancer immunotherapy by PD-1 blockade"
"916","WP5072","Modulators of TCR signaling and T cell activation"
"916","WP5130","Th17 cell differentiation pathway"
"916","WP5098","T-cell activation SARS-CoV-2"
"916","WP69","T-cell receptor signaling pathway"
"916","WP5055","Burn wound healing"
"916","WP4630","Measles virus infection"
"916","WP5115","Network map of SARS-CoV-2 signaling pathway"
"917","WP4884","Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex"
"917","WP4585","Cancer immunotherapy by PD-1 blockade"
"917","WP5072","Modulators of TCR signaling and T cell activation"
"917","WP5130","Th17 cell differentiation pathway"
"917","WP5098","T-cell activation SARS-CoV-2"
"917","WP69","T-cell receptor signaling pathway"
"917","WP4630","Measles virus infection"
"917","WP5115","Network map of SARS-CoV-2 signaling pathway"
"1555","WP2874","Liver X receptor pathway"
"1555","WP3871","Valproic acid pathway"
"1555","WP2875","Constitutive androstane receptor pathway"
"1555","WP2876","Pregnane X receptor pathway"
"1555","WP299","Nuclear receptors in lipid metabolism and toxicity"
"1555","WP43","Oxidation by cytochrome P450"
"1555","WP3915","Angiopoietin-like protein 8 regulatory pathway"
"1555","WP702","Metapathway biotransformation Phase I and II"
"1555","WP2877","Vitamin D receptor pathway"
"1555","WP2882","Nuclear receptors meta-pathway"
"1544","WP2881","Estrogen receptor pathway"
"1544","WP206","Fatty acid omega-oxidation"
"1544","WP697","Estrogen metabolism"
"1544","WP691","Tamoxifen metabolism"
"1544","WP5276","Estrogen metabolism"
"1544","WP299","Nuclear receptors in lipid metabolism and toxicity"
"1544","WP3298","Melatonin metabolism and effects"
"1544","WP2873","Aryl hydrocarbon receptor pathway"
"1544","WP2586","Aryl hydrocarbon receptor pathway"
"1544","WP43","Oxidation by cytochrome P450"
"1544","WP702","Metapathway biotransformation Phase I and II"
"1544","WP2882","Nuclear receptors meta-pathway"
"8837","WP2507","Nanomaterial induced apoptosis"
"8837","WP3617","Photodynamic therapy-induced NF-kB survival signaling"
"8837","WP314","Fas ligand pathway and stress induction of heat shock proteins"
"8837","WP3611","Photodynamic therapy-induced AP-1 survival signaling"
"8837","WP254","Apoptosis"
"8837","WP1772","Apoptosis modulation and signaling"
"8837","WP231","TNF-alpha signaling pathway"
"8837","WP5224","2q37 copy number variation syndrome"
"8837","WP4754","IL-18 signaling pathway"
"1147","WP3849","MAPK and NFkB signaling pathways inhibited by Yersinia YopJ"
"1147","WP1434","Osteopontin signaling"
"1147","WP4919","Neuroinflammation"
"1147","WP4961","STING pathway in Kawasaki-like disease and COVID-19"
"1147","WP4482","Vitamin D in inflammatory diseases"
"1147","WP262","Ebstein-Barr virus LMP1 signaling"
"1147","WP712","Estrogen signaling pathway"
"1147","WP3845","Canonical and non-canonical Notch signaling"
"1147","WP3851","TLR4 signaling and tolerance"
"1147","WP3858","Toll-like receptor signaling related to MyD88"
"1147","WP5113","Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway"
"1147","WP2817","Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)"
"1147","WP4481","Resistin as a regulator of inflammation"
"1147","WP4496","Signal transduction through IL1R"
"1147","WP4880","Host-pathogen interaction of human coronaviruses - interferon induction"
"1147","WP3617","Photodynamic therapy-induced NF-kB survival signaling"
"1147","WP2526","PDGF pathway"
"1147","WP1433","Nucleotide-binding oligomerization domain (NOD) pathway"
"1147","WP2036","TNF-related weak inducer of apoptosis (TWEAK) signaling pathway"
"1147","WP4136","Fibrin complement receptor 3 signaling pathway"
"1147","WP2332","Interleukin-11 signaling pathway"
"1147","WP2637","Interleukin-1 (IL-1) structural pathway"
"1147","WP395","IL-4 signaling pathway"
"1147","WP195","IL-1 signaling pathway"
"1147","WP2018","RANKL/RANK signaling pathway"
"1147","WP2795","Cardiac hypertrophic response"
"1147","WP3865","Novel intracellular components of RIG-I-like receptor pathway"
"1147","WP5072","Modulators of TCR signaling and T cell activation"
"1147","WP3863","T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection"
"1147","WP4329","miRNA role in immune response in sepsis"
"3576","WP4891","COVID-19 adverse outcome pathway"
"3576","WP4493","Cells and molecules involved in local acute inflammatory response "
"3576","WP3287","Overview of nanoparticle effects"
"3576","WP4478","LTF danger signal response pathway"
"3576","WP4884","Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex"
"3576","WP262","Ebstein-Barr virus LMP1 signaling"
"3576","WP3851","TLR4 signaling and tolerance"
"3576","WP5113","Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway"
"3576","WP4481","Resistin as a regulator of inflammation"
"3576","WP5088","Prostaglandin signaling"
"3576","WP3617","Photodynamic therapy-induced NF-kB survival signaling"
"3576","WP5285","Immune infiltration in pancreatic cancer"
"3576","WP2828","Bladder cancer"
"3576","WP2203","Thymic stromal lymphopoietin (TSLP) signaling pathway"
"3576","WP286","IL-3 signaling pathway"
"3576","WP3646","Hepatitis C and hepatocellular carcinoma"
"3576","WP3865","Novel intracellular components of RIG-I-like receptor pathway"
"3576","WP3624","Lung fibrosis"
"3576","WP4329","miRNA role in immune response in sepsis"
"3576","WP5039","SARS-CoV-2 innate immunity evasion and cell-specific immune response"
"3576","WP4341","Non-genomic actions of 1,25 dihydroxyvitamin D3"
"3576","WP2328","Allograft rejection"
"3576","WP2355","Corticotropin-releasing hormone signaling pathway"
"3576","WP75","Toll-like receptor signaling pathway"
"3576","WP5055","Burn wound healing"
"3576","WP4659","Gastrin signaling pathway"
"3576","WP2431","Spinal cord injury"
"3576","WP5095","Overview of proinflammatory and profibrotic mediators"
"3576","WP4666","Hepatitis B infection"
"3576","WP4396","Nonalcoholic fatty liver disease"
"8772","WP2513","Nanoparticle triggered regulated necrosis"
"8772","WP5182","Pro-survival signaling of neuroprotectin D1"
"8772","WP384","Apoptosis modulation by HSP70"
"8772","WP2507","Nanomaterial induced apoptosis"
"8772","WP4864","Host-pathogen interaction of human coronaviruses - apoptosis"
"8772","WP2036","TNF-related weak inducer of apoptosis (TWEAK) signaling pathway"
"8772","WP314","Fas ligand pathway and stress induction of heat shock proteins"
"8772","WP3865","Novel intracellular components of RIG-I-like receptor pathway"
"8772","WP5039","SARS-CoV-2 innate immunity evasion and cell-specific immune response"
"8772","WP4655","Cytosolic DNA-sensing pathway"
"8772","WP4674","Head and neck squamous cell carcinoma"
"8772","WP254","Apoptosis"
"8772","WP1772","Apoptosis modulation and signaling"
"8772","WP231","TNF-alpha signaling pathway"
"8772","WP75","Toll-like receptor signaling pathway"
"8772","WP4630","Measles virus infection"
"8772","WP4666","Hepatitis B infection"
"8772","WP5124","Alzheimer's disease"
"8772","WP4754","IL-18 signaling pathway"
"8772","WP2059","Alzheimer's disease and miRNA effects"
"8772","WP3888","VEGFA-VEGFR2 signaling"
"355","WP4484","Control of immune tolerance by vasoactive intestinal peptide"
"355","WP384","Apoptosis modulation by HSP70"
"355","WP2507","Nanomaterial induced apoptosis"
"355","WP5111","Familial hyperlipidemia type 4"
"355","WP5284","Cell interactions of the pancreatic cancer microenvironment"
"355","WP314","Fas ligand pathway and stress induction of heat shock proteins"
"355","WP5078","T cell modulation in pancreatic cancer"
"355","WP3611","Photodynamic therapy-induced AP-1 survival signaling"
"355","WP707","DNA damage response"
"355","WP254","Apoptosis"
"355","WP2328","Allograft rejection"
"355","WP69","T-cell receptor signaling pathway"
"355","WP1772","Apoptosis modulation and signaling"
"355","WP4963","p53 transcriptional gene network"
"355","WP1530","miRNA regulation of DNA damage response"
"355","WP4932","7q11.23 copy number variation syndrome"
"355","WP5090","Complement system in neuronal development and plasticity"
"355","WP236","Adipogenesis"
"355","WP4630","Measles virus infection"
"355","WP4673","Male infertility"
"355","WP4666","Hepatitis B infection"
"355","WP4396","Nonalcoholic fatty liver disease"
"355","WP3594","Circadian rhythm genes"
"355","WP382","MAPK signaling pathway"
"355","WP5124","Alzheimer's disease"
"355","WP4754","IL-18 signaling pathway"
"355","WP2059","Alzheimer's disease and miRNA effects"
"355","WP3888","VEGFA-VEGFR2 signaling"
"356","WP384","Apoptosis modulation by HSP70"
"356","WP2507","Nanomaterial induced apoptosis"
"356","WP4864","Host-pathogen interaction of human coronaviruses - apoptosis"
"356","WP5284","Cell interactions of the pancreatic cancer microenvironment"
"356","WP314","Fas ligand pathway and stress induction of heat shock proteins"
"356","WP5078","T cell modulation in pancreatic cancer"
"356","WP3611","Photodynamic therapy-induced AP-1 survival signaling"
"356","WP3646","Hepatitis C and hepatocellular carcinoma"
"356","WP254","Apoptosis"
"356","WP2328","Allograft rejection"
"356","WP1772","Apoptosis modulation and signaling"
"356","WP4963","p53 transcriptional gene network"
"356","WP5090","Complement system in neuronal development and plasticity"
"356","WP710","DNA damage response (only ATM dependent)"
"356","WP4630","Measles virus infection"
"356","WP4673","Male infertility"
"356","WP4666","Hepatitis B infection"
"356","WP4396","Nonalcoholic fatty liver disease"
"356","WP4223","Ras signaling"
"356","WP382","MAPK signaling pathway"
"356","WP4754","IL-18 signaling pathway"
"356","WP4172","PI3K-Akt signaling pathway"
"2353","WP4919","Neuroinflammation"
"2353","WP3944","Serotonin and anxiety-related events"
"2353","WP2435","Quercetin and Nf-kB / AP-1 induced apoptosis"
"2353","WP4928","MAPK pathway in congenital thyroid cancer"
"2353","WP3947","Serotonin and anxiety"
"2353","WP4970","Galanin receptor pathway"
"2353","WP3612","Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling"
"2353","WP712","Estrogen signaling pathway"
"2353","WP1528","Physiological and pathological hypertrophy of the heart"
"2353","WP3972","PDGFR-beta pathway"
"2353","WP408","Oxidative stress response"
"2353","WP4880","Host-pathogen interaction of human coronaviruses - interferon induction"
"2353","WP722","Serotonin HTR1 group and FOS pathway"
"2353","WP313","Hepatocyte growth factor receptor signaling"
"2353","WP4877","Host-pathogen interaction of human coronaviruses - MAPK signaling"
"2353","WP3591","Sleep regulation"
"2353","WP127","IL-5 signaling pathway"
"2353","WP2526","PDGF pathway"
"2353","WP4564","Neural crest cell migration during development"
"2353","WP49","IL-2 signaling pathway"
"2353","WP4565","Neural crest cell migration in cancer"
"2353","WP2637","Interleukin-1 (IL-1) structural pathway"
"2353","WP286","IL-3 signaling pathway"
"2353","WP3611","Photodynamic therapy-induced AP-1 survival signaling"
"2353","WP395","IL-4 signaling pathway"
"2353","WP2018","RANKL/RANK signaling pathway"
"2353","WP560","TGF-beta receptor signaling"
"2353","WP304","Kit receptor signaling pathway"
"2353","WP4816","TGF-beta receptor signaling in skeletal dysplasias"
"2353","WP3863","T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection"
"2767","WP3958","GPR40 pathway"
"2767","WP4760","PKC-gamma calcium signaling pathway in ataxia"
"2767","WP2355","Corticotropin-releasing hormone signaling pathway"
"2767","WP35","G protein signaling pathways"
"2767","WP4540","Hippo signaling regulation pathways"
"2767","WP536","Calcium regulation in cardiac cells"
"2767","WP3594","Circadian rhythm genes"
"9630","WP4760","PKC-gamma calcium signaling pathway in ataxia"
"9630","WP35","G protein signaling pathways"
"2769","WP4760","PKC-gamma calcium signaling pathway in ataxia"
"2769","WP4941","GPR143 in melanocytes and retinal pigment epithelium cells"
"2769","WP2197","Endothelin pathways"
"2769","WP35","G protein signaling pathways"
"2769","WP2806","Complement system"
"2770","WP3679","Cell-type dependent selectivity of CCK2R signaling"
"2770","WP1602","Nicotine effect on dopaminergic neurons"
"2770","WP26","S1P receptor signal transduction"
"2770","WP5122","Prostaglandin and leukotriene metabolism in senescence "
"2770","WP2197","Endothelin pathways"
"2770","WP4900","Purinergic signaling"
"2770","WP722","Serotonin HTR1 group and FOS pathway"
"2770","WP2636","Common pathways underlying drug addiction"
"2770","WP2032","Thyroid stimulating hormone (TSH) signaling pathway"
"2770","WP2355","Corticotropin-releasing hormone signaling pathway"
"2770","WP35","G protein signaling pathways"
"2770","WP536","Calcium regulation in cardiac cells"
"2770","WP3929","Chemokine signaling pathway"
"2771","WP26","S1P receptor signal transduction"
"2771","WP4900","Purinergic signaling"
"2771","WP722","Serotonin HTR1 group and FOS pathway"
"2771","WP2032","Thyroid stimulating hormone (TSH) signaling pathway"
"2771","WP2355","Corticotropin-releasing hormone signaling pathway"
"2771","WP35","G protein signaling pathways"
"2771","WP2806","Complement system"
"2771","WP4540","Hippo signaling regulation pathways"
"2771","WP536","Calcium regulation in cardiac cells"
"2771","WP3929","Chemokine signaling pathway"
"2773","WP26","S1P receptor signal transduction"
"2773","WP4900","Purinergic signaling"
"2773","WP722","Serotonin HTR1 group and FOS pathway"
"2773","WP2032","Thyroid stimulating hormone (TSH) signaling pathway"
"2773","WP35","G protein signaling pathways"
"2773","WP2806","Complement system"
"2773","WP4540","Hippo signaling regulation pathways"
"2773","WP536","Calcium regulation in cardiac cells"
"2773","WP3929","Chemokine signaling pathway"
"2774","WP35","G protein signaling pathways"
"2774","WP4540","Hippo signaling regulation pathways"
"2775","WP4900","Purinergic signaling"
"2775","WP722","Serotonin HTR1 group and FOS pathway"
"2775","WP4312","Rett syndrome causing genes"
"2775","WP2032","Thyroid stimulating hormone (TSH) signaling pathway"
"2775","WP2355","Corticotropin-releasing hormone signaling pathway"
"2775","WP35","G protein signaling pathways"
"2775","WP4673","Male infertility"
"2775","WP536","Calcium regulation in cardiac cells"
"2776","WP3679","Cell-type dependent selectivity of CCK2R signaling"
"2776","WP4962","Airway smooth muscle cell contraction"
"2776","WP732","Serotonin receptor 2 and ELK-SRF/GATA4 signaling"
"2776","WP4760","PKC-gamma calcium signaling pathway in ataxia"
"2776","WP4941","GPR143 in melanocytes and retinal pigment epithelium cells"
"2776","WP5122","Prostaglandin and leukotriene metabolism in senescence "
"2776","WP4756","Renin-angiotensin-aldosterone system (RAAS)"
"2776","WP2038","Microtubule cytoskeleton regulation"
"2776","WP2032","Thyroid stimulating hormone (TSH) signaling pathway"
"2776","WP2355","Corticotropin-releasing hormone signaling pathway"
"2776","WP35","G protein signaling pathways"
"2776","WP4540","Hippo signaling regulation pathways"
"2776","WP4659","Gastrin signaling pathway"
"2776","WP536","Calcium regulation in cardiac cells"
"2776","WP289","Myometrial relaxation and contraction pathways"
"2776","WP3594","Circadian rhythm genes"
"2776","WP5124","Alzheimer's disease"
"2776","WP2059","Alzheimer's disease and miRNA effects"
